Relatório de situação do estoque

Data de expedição: 2016-09-19_22:41:11
Período de referência: 1

--------------------------------------------------------------------------------
Código	Descrição	Qnt Existente	Demanda Tot.	Estoque Min		Estoque Max
--------------------------------------------------------------------------------
1		Pudim		100				114				67				154
2		Ma�a		120				114				81				182
3		Escova		10				114				5				30
4		Agua		100				114				67				154
5		Fones		50				114				30				80
6		Batata		200				114				140				300
7		P�o		150				114				102				224
8		Camera		2				114				7				34
9		Chiclete		400				114				286				592
10		Quadros		25				114				12				44
--------------------------------------------------------------------------------

